host,listOfDetections,count
011rtr6kjtjdrhkyl68pkrjthbdfntmk.servehttp.com,0,0
02b123c.netsolhost.com,0,0
0hb.ru,"[u'MyWOT', u'SURBL', u'BitDefender']",3
0lilioo0l0o00lilil.info,"[u'MyWOT', u'SCUMWARE', u'SURBL', u'hpHosts', u'DrWeb', u'GoogleSafeBrowsing', u'DNS-BH']",7
0n1u4og97yt85sy8faitxwt.addirectory.org,0,0
0td4nbde7.ttl60.com,"[u'SpamhausDBL', u'BitDefender']",2
0v2.info,0,0
0wu.ru,0,0
0y1.ru,0,0
10056.r.gd,"[u'MyWOT', u'BitDefender', u'BrowserDefender']",3
10106.r.gd,"[u'MyWOT', u'BitDefender', u'BrowserDefender']",3
103.30.42.71,0,0
108.59.12.115,0,0
108.61.43.150,0,0
109.206.168.0,0,0
109.206.168.2,0,0
109.206.177.169,0,0
109.206.186.14,0,0
109.206.186.20,0,0
109.236.82.46,0,0
109.236.82.48,0,0
109.236.82.49,0,0
109.236.82.61,0,0
109.236.85.57,0,0
109.236.88.105,0,0
109.87.203.44,0,0
10fourmusic.cu.cc,0,0
110.134.223.175,0,0
111.118.176.130,0,0
111w.de.ms,[u'BitDefender'],1
1122102749,0,0
115.28.9.205,0,0
1168259712-6.cetrixia.ru,[u'BitDefender'],1
1174378403-6.ichers.ru,0,0
11ncat.info,[u'GoogleSafeBrowsing'],1
12-pn-installer-310615853.us-east-1.elb.amazonaws.com,0,0
122.224.4.134,0,0
1227468835-6.redweav.ru,"[u'BitDefender', u'GoogleSafeBrowsing']",2
124.198.81.98,0,0
129.121.100.104,0,0
129.121.100.74,0,0
129.121.135.243,0,0
129.121.163.4,0,0
129.121.213.239,0,0
129.121.219.142,0,0
129.121.232.136,0,0
129.121.34.206,0,0
129.121.35.147,0,0
129.121.75.183,0,0
129.121.79.112,0,0
12ws.lapa4ka.in,0,0
13.ldgaga.ru,0,0
1334166638,0,0
1334166651,0,0
134.249.239.193,0,0
1372325417.hopto.org,0,0
1385065244.listentoy.com,[u'Avira'],1
1399925223.cu.cc,[u'BitDefender'],1
140.114.67.67,0,0
144.76.192.100,0,0
144.76.192.101,0,0
144.76.192.102,0,0
144.76.192.104,0,0
144.76.192.97,0,0
144.76.207.225,0,0
1446469814,0,0
1488swat.asia,0,0
149.154.71.190,0,0
149.47.137.188,0,0
149.47.144.199,0,0
1506812532,0,0
1539393606,0,0
1539495499,0,0
1539495587,0,0
1540987173,0,0
1540987231,0,0
1541897761,0,0
157.14.29.118,0,0
1572572686,0,0
1581022025,0,0
1581022026,0,0
1587589125-5.ematederavrt.ru,0,0
1588207.huweb.nl,"[u'BitDefender', u'BrowserDefender', u'GoogleSafeBrowsing']",3
158foxtrott.com,"[u'BitDefender', u'GoogleSafeBrowsing']",2
160250.dyndns.info,0,0
1604534963,0,0
1604534972,0,0
1604540625,0,0
1604540902,0,0
1644159149-28.issuunso.ru,[u'BitDefender'],1
173.192.229.33,0,0
173.212.202.188,0,0
173.212.204.51,0,0
173.212.204.53,0,0
173.212.204.54,0,0
173.233.134.142,0,0
173.255.142.62,0,0
176.31.39.134,0,0
176.56.228.251,0,0
176.65.161.38,0,0
176.8.35.144,0,0
176.9.147.227,0,0
176tube.c01.at,0,0
178.150.178.93,0,0
178.162.134.157,0,0
178.162.134.182,0,0
178.162.134.183,0,0
178.162.137.136,0,0
178.162.137.64,0,0
178.162.137.80,0,0
178.162.137.85,0,0
178.162.137.88,0,0
178.162.157.186,0,0
178.162.157.188,0,0
178.162.157.189,0,0
178.162.157.190,0,0
178.162.157.191,0,0
178.162.157.223,0,0
178.162.157.238,0,0
178.162.167.135,0,0
178.162.167.136,0,0
178.162.167.30,0,0
178.162.167.35,0,0
178.162.167.47,0,0
178.162.170.159,0,0
178.162.170.160,0,0
178.162.170.170,0,0
178.162.170.190,0,0
178.162.170.34,0,0
178.162.170.51,0,0
178.162.170.52,0,0
178.162.170.66,0,0
178.162.174.134,0,0
178.162.182.113,0,0
178.162.182.136,0,0
178.32.189.100,0,0
178.32.189.103,0,0
178.32.189.104,0,0
178.32.79.78,0,0
178.74.199.7,0,0
178.77.74.57,0,0
17daohang.start.tl,"[u'MyWOT', u'BrowserDefender']",2
184.172.109.155,0,0
184.172.109.156,0,0
184.172.109.157,0,0
184.172.109.158,0,0
1844204857,0,0
185.4.227.74,0,0
188.137.45.37,0,0
188.165.207.158,0,0
188.165.24.210,0,0
188.165.95.15,0,0
188.190.124.93,0,0
188.190.127.80,0,0
188.229.100.24,0,0
188.230.103.122,0,0
188.247.232.176,0,0
188.247.232.179,0,0
188.247.232.181,0,0
188.247.232.185,0,0
188.40.250.240,0,0
188.40.52.46,0,0
188.40.52.9,0,0
188.72.230.27,0,0
188.72.242.115,0,0
188.72.248.160,0,0
188.72.248.168,0,0
188.72.248.171,0,0
188.72.248.179,0,0
188.72.248.203,0,0
188.72.248.204,0,0
188.72.248.205,0,0
188.72.248.206,0,0
188.72.248.209,0,0
188.72.248.210,0,0
188.72.248.214,0,0
188.72.248.215,0,0
188.72.248.216,0,0
188.72.248.218,0,0
188.72.248.219,0,0
192.69.238.189,0,0
193.169.244.167,0,0
193.169.244.170,0,0
193.169.244.171,0,0
193.169.244.172,0,0
193.169.244.177,0,0
193.169.244.223,0,0
193.169.244.232,0,0
193.169.245.10,0,0
193.169.245.100,0,0
193.169.245.103,0,0
193.169.245.104,0,0
193.169.245.105,0,0
193.169.245.106,0,0
193.169.245.107,0,0
193.169.245.11,0,0
193.169.245.110,0,0
193.169.245.112,0,0
193.169.245.113,0,0
193.169.245.115,0,0
193.169.245.117,0,0
193.169.245.13,0,0
193.169.245.14,0,0
193.169.245.170,0,0
193.169.245.5,0,0
193.169.245.6,0,0
193.169.245.64,0,0
193.169.245.67,0,0
193.169.245.68,0,0
193.169.245.7,0,0
193.169.245.73,0,0
193.169.245.75,0,0
193.169.245.76,0,0
193.169.245.78,0,0
193.169.245.8,0,0
193.169.245.99,0,0
193.33.186.243,0,0
194.11.16.156,0,0
194.12.100.121,0,0
195.184.86.70,0,0
1969.ch.vu,[u'BitDefender'],1
198.148.81.69,0,0
198.170.76.118,0,0
198.50.194.12,0,0
198.50.194.20,0,0
198.50.194.3,0,0
198.50.194.31,0,0
198.50.194.34,0,0
198.50.194.52,0,0
198.50.194.8,0,0
